has_job_experience,requires_job_training,full_time_position,company_age,no_of_employees,annual_wage,application_year,application_month,decision_date,case_status,processing_time_days,continent_Africa,continent_Asia,continent_Europe,continent_North America,continent_Oceania,continent_South America,region_of_employment_Island,region_of_employment_Midwest,region_of_employment_Northeast,region_of_employment_South,region_of_employment_West,education_of_employee_Bachelor,education_of_employee_Doctorate,education_of_employee_High School,education_of_employee_Master
1,0,1,43,2438,35018.04,2019,12,2020-04-27,1,131,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
1,0,1,28,11733,480078.976,2023,5,2023-10-03,1,140,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
1,0,1,20,2368,113799.64,2018,10,2018-12-29,1,59,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
1,1,1,23,779,85854.09,2017,6,2017-09-20,1,87,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
1,0,1,20,2825,14174.04,2016,7,2016-08-26,1,44,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
0,0,1,10,3510,47176.84,2017,7,2017-12-25,1,150,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
0,0,1,8,2624,4949.28,2020,8,2020-11-27,1,110,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
0,1,1,11,5340,67410.59,2021,3,2021-07-18,0,127,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1,1,1,30,2311,58791.58,2024,4,2024-08-16,1,135,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
0,0,1,20,5110,214700.928,2024,8,2024-12-14,0,105,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
1,0,1,26,1316,62591.57,2021,12,2022-02-16,1,69,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
0,0,1,15,100,102919.59,2016,7,2016-08-14,0,15,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
1,0,1,16,2021,123468.56,2023,9,2023-12-20,1,98,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
0,0,0,54,80,82324.64,2022,5,2022-07-26,0,84,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
1,0,1,175,2070,5319.49,2022,1,2022-04-30,1,90,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
1,1,1,9,2654,153019.94,2022,2,2022-05-16,1,98,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
1,0,1,19,292,38059.89,2024,6,2024-07-13,1,15,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1,0,1,20,1320,479080.16,2021,4,2021-08-14,0,123,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
1,0,1,11,1722,61521.92,2018,10,2019-01-20,1,89,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
1,0,1,89,3339,121316.5,2024,6,2024-09-22,0,109,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
1,0,1,131,452,122540.55,2021,1,2021-03-25,1,82,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1,0,1,16,3705,47170.76,2017,11,2018-03-01,1,92,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0,0,1,22,85,687178.544,2021,1,2021-03-23,0,65,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
1,0,1,181,2423,2927.34,2019,11,2020-01-03,1,52,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
1,0,1,25,1274,107781.48,2024,7,2024-10-21,1,111,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
0,0,1,23,1549,1227242.2240000002,2024,7,2024-12-09,1,144,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
0,1,1,24,1062,194176.83,2022,6,2022-07-04,0,15,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
1,0,1,70,32619,102073.81,2017,2,2017-05-28,1,96,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
1,0,1,21,4036,113882.38,2022,5,2022-06-13,1,15,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1,0,1,18,39,70778.82,2018,10,2018-11-29,0,46,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
1,0,1,16,2359,84125.48,2023,10,2024-01-29,1,110,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
1,1,1,15,1023,174014.59,2017,1,2017-05-07,1,126,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1,0,1,37,2480,34213.17,2018,3,2018-03-28,1,15,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,34,1255,79813.05,2023,2,2023-06-15,0,127,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
1,0,1,18,4455,113327.34,2016,1,2016-03-10,0,41,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
0,0,1,85,2543,78893.64,2024,9,2025-01-11,0,108,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
1,0,1,13,1359,140290.16,2021,2,2021-05-18,1,99,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
1,1,1,15,2324,111926.01,2021,9,2021-11-17,0,53,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
0,0,1,19,4103,125880.21,2023,9,2023-09-23,0,16,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
0,0,1,48,3667,1098011.408,2018,6,2018-08-31,0,89,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
0,0,1,10,488,49357.95,2020,2,2020-06-16,1,116,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
1,0,1,25,2724,69335.2,2023,7,2023-09-07,1,50,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
0,0,0,16,1392,99737.18,2017,5,2017-06-18,1,47,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1,0,1,40,2573,91449.62,2017,11,2017-11-19,0,17,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
1,0,1,37,3524,34494.86,2019,1,2019-02-27,1,44,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
0,0,1,41,1847,823669.6,2018,11,2018-12-27,0,34,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
0,0,1,50,107535,159645.51,2020,4,2020-05-02,0,15,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1,0,1,10,2227,28243.79,2017,5,2017-06-10,1,38,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
1,0,1,10,334,43421.88,2017,6,2017-09-15,1,99,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1,0,1,16,224,80253.78,2024,3,2024-07-07,1,121,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
1,0,1,41,367,115235.95,2023,9,2023-10-08,1,15,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
1,0,0,15,306,95200.86,2018,6,2018-08-19,1,61,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
1,0,1,28,2317,41613.52,2023,8,2023-11-15,1,103,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
0,0,1,39,890,64137.41,2020,7,2020-12-29,0,156,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
1,0,1,11,2002,66295.43,2017,5,2017-09-01,1,110,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
0,0,1,77,2903,97520.02,2020,10,2020-12-07,1,59,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
1,0,1,19,2504,65164.57,2020,11,2021-03-28,1,139,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
1,0,0,63,951,73957.17,2019,11,2019-12-06,1,15,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
1,0,1,159,1327,71415.43,2023,3,2023-04-25,1,39,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1,0,1,43,2421,87336.53,2017,8,2017-10-02,1,55,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
1,0,1,13,1019,5146269.44,2018,7,2018-09-21,1,62,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
0,0,1,34,1048,83503.6,2019,9,2019-12-21,1,102,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
0,0,1,12,3323,57590.66,2017,3,2017-06-17,1,93,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1,0,1,26,509,1684810.4,2023,11,2024-03-25,1,125,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
1,1,1,41,2225,65993.21,2017,7,2017-12-05,1,154,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1,0,1,35,1641,32161.6,2019,3,2019-05-16,1,53,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
0,0,1,22,1144,16421.37,2023,1,2023-04-11,0,99,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,49,2334,160676.39,2020,2,2020-06-29,1,122,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
0,0,1,105,1415,53114.02,2018,4,2018-05-18,0,31,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
1,1,1,26,2754,19176.21,2023,3,2023-07-15,1,124,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
0,0,0,18,1099,204832.52,2023,4,2023-06-03,0,54,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1,0,1,9,960,40256.03,2021,2,2021-06-04,1,121,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
1,0,1,19,2750,38841.44,2016,11,2017-02-12,1,78,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1,0,1,13,2753,133052.84,2023,9,2023-12-17,0,107,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
1,0,0,12,23287,75234.64,2019,11,2020-01-24,1,75,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
0,0,1,23,2140,37032.83,2020,5,2020-07-15,1,47,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
0,0,1,11,4499,61617.73,2019,12,2020-05-10,0,145,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
0,0,1,16,2554,247393.01,2021,5,2021-08-07,1,98,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
1,0,1,54,1333,709327.632,2023,5,2023-10-03,1,135,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
0,0,1,198,928,30570.95,2016,11,2017-01-16,1,71,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
1,0,1,18,4289,19477.1,2023,10,2024-03-03,1,133,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
1,1,1,9,113282,164893.0,2020,9,2020-09-22,1,15,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
1,0,1,17,1948,131584.5,2019,8,2019-09-07,1,15,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1,0,1,179,1933,63896.35,2018,12,2019-04-07,1,118,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,1,6,2847,77883.22,2019,6,2019-08-11,1,66,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1,0,1,105,1195,108519.14,2019,9,2019-10-03,1,15,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
1,0,0,30,54,47002.53,2018,4,2018-07-04,1,88,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0,73,4390,88720.29,2017,9,2017-11-14,1,67,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1,0,1,12,73909,60821.75,2016,2,2016-06-20,1,128,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
0,1,1,169,545,66324.69,2024,11,2025-04-03,1,124,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1,0,1,45,2831,100398.58,2022,2,2022-04-17,1,55,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
0,1,1,20,1634,51282.75,2019,4,2019-06-07,1,50,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
1,0,1,77,1810,13322.72,2020,3,2020-07-31,1,129,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
1,0,1,14,3290,744264.352,2019,8,2020-01-13,1,145,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
1,0,1,19,472,4787.43,2023,8,2023-08-31,1,24,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1,0,1,140,4273,149023.92,2024,3,2024-07-03,1,118,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
0,0,1,90,2326,123739.41,2023,10,2023-11-08,0,15,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
0,0,1,47,50351,1100549.84,2022,5,2022-06-05,0,24,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
1,0,1,50,2261,68933.4,2016,8,2017-01-02,1,145,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
1,0,1,20,255,857683.0079999999,2023,2,2023-03-13,0,22,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
1,0,0,10,373,128931.59,2019,6,2019-11-17,1,145,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1,1,1,18,22,37751.51,2017,8,2017-09-13,1,37,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
1,1,1,22,3102,81781.43,2023,1,2023-03-18,1,60,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
1,0,1,27,5147,6256.18,2024,1,2024-04-28,1,90,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
1,0,1,13,284,44539.97,2020,1,2020-03-30,1,80,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1,0,1,219,1926,104281.71,2020,5,2020-07-21,1,54,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1,0,1,103,2510,125323.7,2023,1,2023-02-25,1,33,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
1,1,1,9,1200,81816.46,2022,3,2022-05-05,1,60,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
1,0,1,17,337,4027.85,2021,3,2021-08-27,1,150,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
1,0,0,98,2880,56117.39,2023,1,2023-06-29,1,151,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1,0,1,74,816,113212.16,2021,11,2021-11-22,1,20,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
1,0,1,15,2640,47095.57,2024,6,2024-08-17,1,71,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1,0,0,12,4190,123437.12,2018,8,2018-11-14,1,89,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1,0,1,25,459,65894.51,2023,3,2023-07-05,1,120,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
1,0,1,23,3351,174333.19,2016,4,2016-08-11,0,112,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
0,0,1,33,3639,399686.56000000006,2021,2,2021-03-06,0,15,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
0,0,1,28,373,3734932.76,2020,7,2020-09-30,0,80,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
0,0,1,41,201,50362.77,2023,9,2023-10-14,1,15,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
1,0,1,44,5461,9078.62,2023,3,2023-03-26,1,21,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
1,0,1,31,3050,10341.89,2024,8,2024-11-30,1,105,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
1,0,1,20,28592,61740.3,2017,4,2017-07-16,1,81,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
1,0,1,21,3207,61031.95,2016,4,2016-08-11,1,122,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
1,0,1,22,5820,31986.79,2020,8,2021-01-01,1,146,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
1,1,1,25,3229,93384.38,2024,1,2024-05-07,1,105,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
1,0,1,12,2708,109921.68,2022,5,2022-06-20,1,23,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
0,1,1,22,2779,122535.0,2024,3,2024-05-20,1,71,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
1,0,1,38,977,105898.54,2024,2,2024-05-09,0,74,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
1,1,1,16,44069,134350.49,2022,4,2022-04-25,1,15,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
1,0,1,93,1566,126498.81,2024,1,2024-02-01,1,15,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
0,1,1,60,4439,113366.37,2022,7,2022-10-03,1,83,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
0,0,1,17,1929,100401.52,2018,12,2019-03-17,1,88,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
0,0,1,66,654,128173.92,2020,11,2021-03-28,0,141,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
1,1,1,12,557,652776.7999999999,2022,12,2023-06-01,0,154,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
0,0,1,15,421,88809.74,2020,9,2020-10-03,1,15,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
1,0,1,8,600,138032.0,2017,9,2017-12-20,0,97,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
1,0,1,27,1551,630.66,2016,8,2017-01-04,1,132,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
1,0,1,14,2540,29469.17,2017,9,2017-12-26,1,96,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
1,0,1,10,961,123688.79,2017,11,2018-03-03,1,111,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
1,0,0,133,3726,111179.86,2017,1,2017-04-02,1,88,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1,0,0,33,4045,102909.59,2020,7,2020-07-23,1,15,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1,0,1,26,128431,128850.75,2017,8,2017-09-18,1,27,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1,0,1,28,2180,113637.4,2020,5,2020-07-22,1,72,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,0,1,28,872,179675.58,2019,7,2019-10-12,0,86,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
0,0,1,21,2689,15814.94,2019,11,2020-04-04,1,146,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
0,1,1,17,2752,21511.58,2023,6,2023-08-19,1,75,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0,47,1375,94252.62,2023,8,2023-09-23,1,24,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1,0,1,153,7320,89207.07,2021,3,2021-07-18,1,123,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
1,0,1,44,3282,74441.11,2023,4,2023-08-16,1,121,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
1,0,1,22,1313,99469.71,2024,8,2024-09-26,1,54,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
1,0,1,23,3128,31890.66,2022,3,2022-05-22,1,60,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
0,0,1,43,4757,167376.13,2024,5,2024-09-15,1,112,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1,0,1,160,2122,130404.72,2019,1,2019-04-27,1,109,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
1,0,1,74,2524,84130.53,2020,7,2020-10-01,0,68,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
1,0,1,69,766,89079.05,2019,4,2019-07-23,1,100,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
0,0,1,17,1190,82464.74,2020,7,2020-11-10,1,116,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
0,0,1,18,2741,329431.856,2023,7,2023-07-23,0,15,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
0,0,0,4,3233,62640.94,2016,12,2017-04-02,1,104,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1,0,0,53,2696,116642.18,2019,12,2020-03-25,1,114,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
1,0,1,147,3980,53767.37,2016,12,2016-12-16,1,15,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
0,1,1,8,111,115777.03,2016,1,2016-05-06,0,125,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
0,0,0,55,5396,101399.51,2018,3,2018-07-20,1,139,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
0,0,1,16,2778,146374.48,2016,5,2016-06-12,0,34,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
0,1,1,91,789,21282.82,2016,6,2016-07-14,1,17,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
1,0,0,15,1515,269321.68,2016,11,2016-12-03,1,25,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1,0,1,103,26891,52114.54,2020,6,2020-09-02,0,85,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
0,0,1,87,1867,2390.74,2020,12,2021-01-27,1,44,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
